通し番号,設置主体,保育園名,所在地,電話番号,開設年月日,保育対象年齢（min）,保育対象年齢（max）,0歳児クラス,1歳児クラス,2歳児クラス,3歳児クラス,4歳児クラス,5歳児クラス,計（保育児数）,基本保育開始時間,基本保育終了時間,延長保育開始時間（月～金）,延長保育終了時間（月～金）,延長保育対象年齢,運営主体
1,公私連携型,三鷹西野保育園,深大寺3-3-10,39-7030,1972/6/1,0 ,5,9,10,12,22,24,24,101,7:30,18:30,18:30,19:30,1歳児クラス～,社会福祉法人三鷹市社会福祉事業団
2,公私連携型,三鷹駅前保育園,下連雀3-30-12 2F,79-5441,2002/4/1,0 ,2,7,13,15,0,0,0,35,7:00,18:00,18:00,22:00,0歳児クラス～,社会福祉法人三鷹市社会福祉事業団
3,公私連携型,認定こども園　三鷹ちどりこども園,上連雀4-12-26,72-9220,2007/4/1,1 ,5,0,5,8,15,15,15,58,7:30,18:30,18:30,19:30,1歳児クラス～,社会福祉法人三鷹市社会福祉事業団
4,公私連携型,三鷹赤とんぼ保育園,牟礼3-9-3,40-0600,2016/4/1,0 ,5,12,20,24,25,25,25,131,7:30,18:30,18:30,19:30,1歳児クラス～,社会福祉法人三鷹市社会福祉事業団
5,公私連携型,三鷹南浦西保育園,下連雀7-2-1,40-7551,1969/6/1,1 ,5,0,20,24,24,24,24,116,7:30,18:30,18:30,19:30,1歳児クラス～,社会福祉法人三鷹市社会福祉事業団
6,公立（公設公営）,中央保育園,上連雀6-11-16,40-7540,1956/8/1,0 ,5,12,20,24,28,28,28,140,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
7,公立（公設公営）,南浦東保育園,下連雀6-12-1,40-7166,1976/5/1,0 ,5,9,12,12,25,25,25,108,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
8,公立（公設公営）,あけぼの保育園,上連雀4-11-21,40-7555,1963/8/1,0 ,5,6,12,12,25,25,25,105,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
9,公立（公設公営）,新川保育園,新川5-7-2,40-7553,1963/9/1,0 ,5,9,15,18,22,25,25,114,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
10,公立（公設公営）,山中保育園,上連雀7-19-1-100,40-7542,1974/8/20,0 ,2,9,22,24,0,0,0,55,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
11,公立（公設公営）,中原保育園,中原4-35-4-101,40-7170,1976/4/1,1 ,5,0,15,22,25,25,25,112,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
12,公立（公設公営）,下連雀保育園,下連雀4-19-4,40-7160,1977/4/1,0 ,5,9,10,12,24,25,25,105,7:30,18:30,18:30,20:30,1歳児クラス～,三鷹市
13,公立（公設公営）,上連雀保育園,上連雀5-1-27,40-7168,1978/5/25,1 ,5,0,15,18,24,25,25,107,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
14,公立（公設公営）,野崎保育園,野崎3-12-11,39-7050,1980/8/1,0 ,5,9,12,12,22,25,25,105,7:30,18:30,18:30,19:30,1歳児クラス～,三鷹市
15,公立（公設民営）,東台保育園,中原2-17-39,79-7728,2001/4/1,0 ,5,9,12,12,12,12,12,69,7:00,18:00,18:00,20:00,満１歳～,株式会社ベネッセスタイルケア
16,公立（公設民営）,牟礼保育園,牟礼7－4－52,76-0883,1968/7/1,0 ,5,6,10,18,20,20,20,94,7:00,18:00,18:00,20:00,0歳児クラス～,株式会社こどもの森
17,公立（公設民営）,大沢台保育園,大沢2-2-52,39-3177,2006/4/1,0 ,5,6,9,11,12,12,12,62,7:00,18:00,18:00,20:00,満１歳～,株式会社ベネッセスタイルケア
18,公立（公設民営）,こじか保育園,新川6-7-8,71-2211,2008/4/1,1 ,5,0,10,12,14,14,14,64,7:00,18:00,18:00,20:00,1歳児クラス～,株式会社こどもの森
